Name,Sorting Name,Age Rating,Categories,Description,Developers,Publishers,Favorite,Hidden,Features,Game Id,Genres,Install size,Release Date,Added,Last Played,Date Modified,Recent Activity,Platforms,Play Count,Time Played,Sources,Series,Tags,Community Score,Critic Score,User Score,Id
Call of Duty: WWII,,PEGI 18,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/476600/extras/CODWW2-PC_Game-Art_SA-628x195-1100CP_Incentives.png?t=1748041216"" /><br><br>Includes Digital Edition Bonus Content: 1,100 Call of Duty Points**<br><br>Call of Duty® returns to its roots with <strong>Call of Duty®: WWII</strong> - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in history’s most monumental war. Experience classic Call of Duty combat, the bonds of camaraderie, and the unforgiving nature of war against a global power throwing the world into tyranny.<br><br><strong>Call of Duty®: WWII</strong> creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty® story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments.",Sledgehammer Games,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",476600,Shooter,,02/11/2017,17/06/2025 23:53,05/01/2018 22:24,17/06/2025 23:57,17/06/2025 23:53,,0,11940,Steam,Call of Duty,,74,75,,039605f3-7456-47ea-bb24-22bc6a2d8e7d
PAYDAY 2,PAYDAY 02,PEGI 18,,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree. <br><br>The CRIMENET network offers a huge range of dynamic contracts, and players are free to choose anything from small-time convenience store hits or kidnappings, to big league cyber-crime or emptying out major bank vaults for that epic PAYDAY. While in DC, why not participate in the local community, and run a few political errands?<br><br>Up to four friends co-operate on the hits, and as the crew progresses the jobs become bigger, better and more rewarding. Along with earning more money and becoming a legendary criminal comes a character customization and crafting system that lets crews build and customize their own guns and gear.<h2 class=""bb_tag"">Key Features</h2><ul class=""bb_ul""><li>Rob Banks, Get Paid – Players must choose their crew carefully, because when the job goes down they will need the right mix of skills on their side.<br></li><li>CRIMENET – The dynamic contract database lets gamers pick and choose from available jobs by connecting with local contacts such as Vlad the Ukrainian, shady politician &quot;The Elephant&quot;, and South American drug trafficker Hector, all with their own agenda and best interests in mind.<br></li><li>PAYDAY Gunplay and Mechanics on a New Level – Firing weapons and zip tying civilians never felt so good.<br></li><li>Dynamic Scenarios – No heist ever plays out the same way twice. Every single scenario has random geometry or even rare events.<br></li><li>Choose Your Skills – As players progress they can invest in any of five special Skill Trees: Mastermind, Enforcer, Ghost, Technician and Fugitive. Each features a deep customization tree of associated skills and equipment to master, and they can be mixed and matched to create the ultimate heister.<br></li><li>More Masks than Ever – PAYDAY 2 features a completely new mask system, giving players the ability to craft their own unique mask with a pattern and color of their choice, resulting in millions of different combinations.  <br></li><li>Weapons and Modifications – A brand new arsenal for the serious heister, covering everything from sniper and assault rifles to compact PDWs and SMGs. Once you've settled for a favorite, you can modify it with optics, suppressors, fore grips, reticles, barrels, frames, stocks and more, all of which will affect the performance of your weapon. There are also purely aesthetic enhancements - why not go for the drug lord look with polished walnut grips for your nine?<br></li><li>Play It Your Way – Each job allows for multiple approaches, such as slow and stealthy ambushes or running in guns blazing. Hit the target any way you want, each approach will provide a different experience.<br></li><li>A Long History of Additional Content – More than 70 updates since release, including new heists, characters, weapons and other gameplay features like driving cars and forklifts.</li></ul>",Overkill Software,"505 Games, Starbreeze Studios",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",218620,"Role-playing (RPG), Shooter, Tactical",,13/08/2013,17/06/2025 23:53,01/07/2017 15:50,17/06/2025 23:54,17/06/2025 23:53,,0,11700,Steam,Payday,,74,75,2,e71c6e73-da4f-40f1-9c19-7c18d2f21610
Black Squad,,,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550650/extras/bs_img1.gif?t=1734321972"" /><br><strong>Black Squad is a free-to-play military first-person-shooter. Players can master their skills and show off their strategies with a wide range of game maps, modes, and weapons to choose from. Join thousands of FPS players worldwide in one of the most played games on Steam!</strong><h2 class=""bb_tag""><strong>Game Features</strong></h2><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550650/extras/bs_img2.gif?t=1734321972"" /><br><ul class=""bb_ul""><li><strong>10 Game Modes:</strong> Competitive, Demolition, TDM and more!<br></li><li><strong>Custom Game Creation</strong> to play how you want<br></li><li><strong>85+ Weapons:</strong> SMGs, Shotguns, Snipers, Rifles, Pistols, LMGs, and more!<br></li><li><strong>48 Maps</strong> to master<br></li><li><strong>10 Characters</strong> to collect<br></li><li><strong>460+ Skins</strong> for customization</li></ul><h2 class=""bb_tag""><strong>FREE TO PLAY</strong></h2><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550650/extras/bs_img3.gif?t=1734321972"" /><br>Black Squad is a free to play game. Every item can be earned by just playing the game. Defeat enemies with your friends or boast a solo performance in both casual or competitive gameplay.<h2 class=""bb_tag""><strong>COMPETE &amp; COOPERATE</strong></h2><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550650/extras/bs_img4.gif?t=1734321972"" /><br>Looking for some competition? Black Squad will offer the challenge- participate in community tournaments, clan wars, solo ranked mode, duo competitive, and much more!<h2 class=""bb_tag""><strong>REGULAR UPDATES</strong></h2><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/550650/extras/bs_img5.gif?t=1734321972"" /><br>Black Squad continues to evolve with every update! Stay alert and adapt to new content and features to achieve victory!<h2 class=""bb_tag""><strong>MISSIONS &amp; REWARDS</strong></h2><br>Receive rewards by completing missions. Everyday a new challenge awaits you! Can you step up, Soldier?<br>Rewards will be sent to your inbox as soon as the mission is completed.",NS Studio,Neowiz,FALSE,FALSE,"Massively Multiplayer Online (MMO), Multiplayer",550650,Shooter,,28/07/2017,17/06/2025 23:53,07/09/2017 13:49,17/06/2025 23:55,17/06/2025 23:53,,0,11160,Steam,,,64,,2,d55998d8-c036-44b4-afaf-6e8d782c0670
Fall Guys,,PEGI 3,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/FG_Discord_Banner.png?t=1698763175"" /><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/About_This_Game_1.gif?t=1698763175"" /><br><br>You’re invited to dive and dodge your way to victory in the pantheon of clumsy. Rookie or pro? Solo or partied up? Fall Guys delivers ever-evolving, high-concentrated hilarity and fun. Prefer to be the maverick behind the mayhem? Build your very own obstacle course to share with friends or the wider community. <br><br>Create your own Course: Fall Guys Creative is a level editor that allows you to create fiendish custom Rounds and share them with the wider community.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/Massive_Online_Pandemonium_1.gif?t=1698763175"" /><br>Competitive &amp; Cooperative: Tumble between competitive free-for-alls and cooperative challenges—or take on the Blunderdome with up to 3 friends!<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/Competitive_Coopertative_1.gif?t=1698763175"" /><br>Play with Friends: Fall Guys supports cross-play, cross-platform parties and cross-progression via your Epic Games Account.<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/Comically_Physical.gif?t=1698763175"" /><br>Ever-Evolving Content: Play stays fresh with new collabs and game updates which bring new Costumes, Obstacles, and ways to play.<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/extras/Delightfully_Customizable.gif?t=1698763175"" /><br>Gloriously Customizable: Choose from a multitude of Colors, Patterns, Costumes and Nameplates. Relish wins with extravagant Celebrations and share your flair with Emotes!<br><br>Items shown may require separate purchase from the in-game store and are subject to availability. Contains in-game purchases.",Mediatonic,"Devolver Digital, Epic Games",FALSE,FALSE,"Battle Royale, Co-Operative, Multiplayer",1097150,"Indie, Platform, Racing, Sport",,04/08/2020,17/06/2025 23:53,30/09/2021 16:54,17/06/2025 23:57,17/06/2025 23:53,,0,10320,Steam,,,74,77,2,f2f2f7e3-4297-4986-9f6c-c4c84bcfa8ea
Quake Champions,,PEGI 18,,"Developed by id Software, in conjunction with Saber Interactive, Quake® Champions is a fast-paced arena shooter that combines the dark mythos of the original Quake with the skill-based competition of Quake III Arena, and then adds a twist—Champions, each with unique attributes and abilities for you to master.<h2 class=""bb_tag"">Key Features</h2><h2 class=""bb_tag"">Fast-paced Arena Combat</h2>Quake’s signature rocket jumping, skill-based competition, and incredible speed remains intact, providing veterans with a welcome return and new players a fresh way to showcase their multiplayer skills.<h2 class=""bb_tag"">Incredible, Diverse Champions</h2>Quake Champions introduces 16 elite Champions, each equipped with unique attributes and abilities to fit your play style. The entire roster of Champions can be unlocked within the game.<h2 class=""bb_tag"">Uncompromising Weapons, Ready For Battle</h2>Quake’s devastating arsenal of flesh-chewing weaponry, including fan-favorites like the thunderous Rocket Launcher, electrifying Lightning Gun, and snipe-tastic Railgun are back alongside new additions for you to master.<h2 class=""bb_tag"">Intense Game Modes</h2>Established and beloved game modes return, including the gib-filled fragfests of Deathmatch and Team Deathmatch and the competitive fury of 1v1 Duel mode, while a new team-based mode, Sacrifice, joins the fray.",id Software,Bethesda Softworks,FALSE,FALSE,"Multiplayer, Single Player",611500,Shooter,,18/08/2022,17/06/2025 23:53,07/08/2018 15:11,17/06/2025 23:54,17/06/2025 23:53,,0,10020,Steam,Quake,,72,,3,b414dec6-1073-43fc-9eae-c7cb04d91214
TOXIKK,,,,"<h2 class=""bb_tag"">FRAG LIKE IT'S 1999</h2>TOXIKK™ plays as if today's military and MOBA shooters never existed: The game combines the simple and intuitive mechanics of old-school FPS giants with a fresh setting, slick graphics and our vision to carefully evolve the genre with some new ideas elaborated with Arena-FPS enthusiasts.<h2 class=""bb_tag"">TRY TOXIKK™ FOR FREE</h2><br>Note that the Free Edition does <strong>NOT HAVE ANY COMPETITIVE DISADVANTAGES</strong> versus the Full Game and is NOT some micro-transaction fueled <i>F2P</i> crap, but simply a classic shareware version / demo of the full game. If you decide to buy the Full Game, you <i>really</i> get the FULL game (i.e. ALL customizations and ALL features).<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/324810/extras/FE_SteamChart.png?t=1644043937"" /><br><br>* ALL MAPS CAN BE UNLOCKED THROUGH XP<br>** LIMITED TO MULTIPLAYER ACHIEVEMENTS<h2 class=""bb_tag"">QUESTIONS?</h2><br>Meet the community on our Discord live Chat:<br>",Reakktor Studios,Reakktor Studios,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",324810,"Indie, Shooter",,09/09/2016,17/06/2025 23:53,18/06/2017 14:57,17/06/2025 23:56,17/06/2025 23:53,,0,10020,Steam,,,80,80,1,868e8e69-e9fc-4371-81fc-7b47b89210f8
Deceit,,,,"<strong>Deceit</strong> tests your instincts at trust and deception in an action-filled, multiplayer first-person shooter. You wake up in unknown surroundings to the sound of the Game Master’s unfamiliar voice. Surrounded by five others, a third of your group have been infected with the Game Master’s deadly virus and tasked with taking down the other innocent players. Innocents must stay alert, traverse the three zones and escape through the safety hatch as the infected try to pick you off one by one.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/466240/extras/Wake_Up_noui_610x200.gif?t=1734441940"" /> <br><br>When playing as an innocent, you’ll progress through the map and come across items to help you survive as you advance towards the exit. However, you will need to decide which of these are most valuable to you, and whether to collaborate or fight with other players to get your hands on them. Every decision gives you more information on your teammates and what side they’re likely to be on. <br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/466240/extras/blood_bag_610x200.gif?t=1734441940"" /><br><br>A test of strategy and skill, innocents must work together to gather weapons, secure objectives and vote out those suspected of infection to strengthen their chances of survival. But the environment has been setup to cause conflict amongst the group, creating doubt about the true intentions of players. The infected will be busy collecting blood and trying to cover up their sabotage attempts, whilst the innocents will be keeping an eye out for suspicious behaviour and attempting to make alliances with those they think they can trust. <br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/466240/extras/Fuse_610x200.gif?t=1734441940"" /><br><br>At the end of each zone, a blackout period occurs, allowing the infected players to transform into their terror form and attack. You’ll need this form to kill innocent players. In terror form you’re faster, stronger, and have better vision than your innocent victims and with an array of intense killing animations you’ll be able to create some frightening but also amusing gameplay!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/466240/extras/Terror_execute_610x200.gif?t=1734441940"" /><br><br>Deceit combines the frenzy of fast paced combat mixed with strategic gameplay, and of course the psychological mind games of determining who you can trust.","Automaton, World Makers","Automaton, World Makers",FALSE,FALSE,"Co-Operative, Multiplayer",466240,"Indie, Shooter, Tactical",,03/03/2017,17/06/2025 23:53,18/12/2017 22:06,17/06/2025 23:54,17/06/2025 23:53,,0,9900,Steam,,,50,,1,fc23776d-93ef-46d3-933c-cac4a1615aed
LISA,,,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/GameDetails.gif?t=1749949182"" /><br>LISA: The Painful - Definitive Edition is the miserable, hilarious RPG of your wildest nightmares. Undertake a relentless journey through the post-apocalyptic wasteland of Olathe. Beneath its charming exterior is a world full of disgust and moral desolation, where you will learn what kind of person you are by being FORCED to make choices that permanently affect the gameplay. Make sacrifices to keep your party members alive, whether it's taking a beating for them, losing limbs, or some other inhuman torture. In this world, you will learn that being selfish and heartless is the only way to survive...<br><br>The Definitive Edition brings new content and nightmares to the game with HD graphics, 120 FPS mode, new party member campfire conversations, updated battle systems, new border art overlays, new music, music player (including music from LISA: The First), Painless (Story) mode, and new secrets to explore. <br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/KeyFeatures.gif?t=1749949182"" /><br>- 100+ unique character battles.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/encounters.png?t=1749949182"" /><br>- Visible character sacrifices that affect your stats and attacks (removing arms, eyes, scratches).<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/limb_lose.png?t=1749949182"" /><br>- Recruit up to 30 party members in towns and camps.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/cast.png?t=1749949182"" /><br>- Make ruthless choices that permanently affect towns, characters, and lives.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/dead.png?t=1749949182"" /><br>- Participate in white-knuckle shopping cart races, extreme weight lifting, and other minigames.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/shopping.png?t=1749949182"" /><br>- Bet your party members on Russian Roulette for huge profit, but permanently lose them if they die.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/russian.png?t=1749949182"" /><br>- Listen to your favorite tracks in the music player, which also includes music from LISA: The First.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/music.png?t=1749949182"" /><br>- Discover countless secrets hidden throughout Olathe.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/weird.png?t=1749949182"" /><br>- Play Painful mode for an extra challenge and unique enemies, or Painless mode for a story-focused experience.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/tit.png?t=1749949182"" /><br>- A life-ruining gaming experience.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/335670/extras/brad_sad.png?t=1749949182"" />",Dingaling,Dingaling,FALSE,FALSE,Single Player,335670,"Adventure, Indie, Role-playing (RPG), Turn-based strategy (TBS)",,15/12/2014,17/06/2025 23:53,30/03/2018 21:16,17/06/2025 23:54,17/06/2025 23:53,,0,9360,Steam,LISA,,91,,1,4a3df689-5189-4284-bca0-6dee01984112
Hollow Knight,,PEGI 7,,"<h2 class=""bb_tag"">Hollow Knight Expands with Free Content</h2><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_gg.png?t=1695270428"" /><br><strong>Godmaster</strong> - Take your place amongst the Gods. New Characters and Quest. New Boss Fights. Available Now!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_lifeblood.png?t=1695270428"" /><br><strong>Lifeblood</strong> - A Kingdom Upgraded! New Boss. Upgraded Bosses. Tweaks and Refinements across the whole game.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_grimm.png?t=1695270428"" /><br><strong>The Grimm Troupe</strong> - Light the Nightmare Lantern. Summon the Troupe. New Major Quest. New Boss Fights. New Charms. New Enemies. New Friends.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_hidden_dreams.png?t=1695270428"" /><br><strong>Hidden Dreams</strong> - Mighty new foes emerge! New Boss fights. New Upgrades. New Music.<h2 class=""bb_tag"">Brave the Depths of a Forgotten Kingdom</h2>Beneath the fading town of Dirtmouth sleeps an ancient, ruined kingdom. Many are drawn below the surface, searching for riches, or glory, or answers to old secrets.<br><br><br>Hollow Knight is a classically styled 2D action adventure across a vast interconnected world. Explore twisting caverns, ancient cities and deadly wastes; battle tainted creatures and befriend bizarre bugs; and solve ancient mysteries at the kingdom's heart.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0002_4.jpg?t=1695270428"" /><h2 class=""bb_tag"">Game Features</h2><ul class=""bb_ul""><li>Classic side-scrolling action, with all the modern trimmings.<br></li><li>Tightly tuned 2D controls. Dodge, dash and slash your way through even the most deadly adversaries.<br></li><li>Explore a vast interconnected world of forgotten highways, overgrown wilds and ruined cities.<br></li><li>Forge your own path! The world of Hallownest is expansive and open. Choose which paths you take, which enemies you face and find your own way forward.<br></li><li>Evolve with powerful new skills and abilities! Gain spells, strength and speed. Leap to new heights on ethereal wings. Dash forward in a blazing flash. Blast foes with fiery Soul!<br></li><li>Equip Charms! Ancient relics that offer bizarre new powers and abilities. Choose your favourites and make your journey unique!<br></li><li>An enormous cast of cute and creepy characters all brought to life with traditional 2D frame-by-frame animation.<br></li><li>Over 130 enemies! 30 epic bosses! Face ferocious beasts and vanquish ancient knights on your quest through the kingdom. Track down every last twisted foe and add them to your Hunter's Journal!<br></li><li>Leap into minds with the Dream Nail. Uncover a whole other side to the characters you meet and the enemies you face.<br></li><li>Beautiful painted landscapes, with extravagant parallax, give a unique sense of depth to a side-on world.<br></li><li>Chart your journey with extensive mapping tools. Buy compasses, quills, maps and pins to enhance your understanding of Hollow Knight’s many twisting landscapes.<br></li><li>A haunting, intimate score accompanies the player on their journey, composed by Christopher Larkin. The score echoes the majesty and sadness of a civilisation brought to ruin.<br></li><li>Complete Hollow Knight to unlock Steel Soul Mode, the ultimate challenge!</li></ul><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0003_3.jpg?t=1695270428"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0001_5.jpg?t=1695270428"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/fleur_divider.png?t=1695270428"" /><h2 class=""bb_tag"">An Evocative Hand-Crafted World</h2>The world of Hollow Knight is brought to life in vivid, moody detail, its caverns alive with bizarre and terrifying creatures, each animated by hand in a traditional 2D style.<br><br><br>Every new area you’ll discover is beautifully unique and strange, teeming with new creatures and characters. Take in the sights and uncover new wonders hidden off of the beaten path.<br><br>If you like classic gameplay, cute but creepy characters, epic adventure and beautiful, gothic worlds, then Hollow Knight awaits!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0000_62.jpg?t=1695270428"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0004_2.jpg?t=1695270428"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/extras/banner_pics_0005_1.jpg?t=1695270428"" />",Team Cherry,Team Cherry,FALSE,FALSE,Single Player,367520,"Adventure, Indie, Platform",,24/02/2017,17/06/2025 23:53,07/10/2019 20:37,17/06/2025 23:56,17/06/2025 23:53,,0,9060,Steam,Hollow Knight,,92,91,2,67c7b63f-2939-4dba-a865-ece45d2c6356
America's Army: Proving Grounds,,PEGI 16,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/203290/extras/armystarlogosmall.png?t=1604338987"" /><br>Do you have what it takes to train like a U.S. Army Soldier?<br><br>Take on the role of an 11B Infantryman practicing combat maneuvers at JTC Griffin, a fabricated training MOUT (military operations on urban terrain) environment.  This training is crucial to your success as part of a Long Range Combined Arms – Recon (LRCA-R) unit, a full spectrum capable team that embarks on special operations missions behind enemy lines.<h2 class=""bb_tag"">Key Features</h2><ul class=""bb_ul""><li><strong>You are a U.S. Army Soldier</strong><br></li><li><strong>Two Game Modes with 4 objective types </strong><br></li><li><strong>Character and Weapon customization</strong><br></li><li><strong>Teamwork is Critical</strong><br></li><li><strong>Train in Shoot Houses</strong><br></li><li><strong>Mission Editor and Steam Workshop</strong></li></ul>",U.S. Army,U.S. Army,FALSE,FALSE,"Multiplayer, Single Player",203290,"Shooter, Tactical",,01/10/2015,17/06/2025 23:53,22/05/2017 21:56,17/06/2025 23:55,17/06/2025 23:53,,0,9000,Steam,America's Army,,66,,1,89ee776e-edbd-4706-abe3-323178aa35d7
Outlast,,PEGI 18,,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.<br><br><strong><u>Synopsis:</u></strong><br><br>In the remote mountains of Colorado, horrors wait inside Mount Massive Asylum. A long-abandoned home for the mentally ill, recently re-opened by the “research and charity” branch of the transnational Murkoff Corporation, the asylum has been operating in strict secrecy… until now.<br><br>Acting on a tip from an anonymous source, independent journalist Miles Upshur breaks into the facility, and what he discovers walks a terrifying line between science and religion, nature and something else entirely. Once inside, his only hope of escape lies with the terrible truth at the heart of Mount Massive.<br><br>Outlast is a true survival horror experience which aims to show that the most terrifying monsters of all come from the human mind. <br><br><strong><u>Features:</u></strong><br><br><ul class=""bb_ul""><li>True Survival Horror Experience: You are no fighter - if you want to survive the horrors of the asylum, your only chance is to run... or hide<br></li><li>Immersive Graphics: AAA-quality graphics give players a detailed, terrifying world to explore<br></li><li>Hide and Sneak: Stealth-based gameplay, with parkour-inspired platforming elements<br></li><li>Unpredictable Enemies: Players cannot know when - and from where - one of the asylum’s terrifying inhabitants will finally catch up to them<br></li><li>Real Horror: Outlast’s setting and characters are inspired by real asylums and cases of criminal insanity</li></ul><br><strong><u>Warning:</u></strong><br><br>Outlast contains intense violence, gore, graphic sexual content, and strong language. Please enjoy.",Red Barrels,Red Barrels,FALSE,FALSE,Single Player,238320,"Adventure, Indie",,04/09/2013,17/06/2025 23:53,13/07/2018 18:55,17/06/2025 23:57,17/06/2025 23:53,,0,9000,Steam,Outlast,,77,77,2,3c57060a-44aa-4904-8ecb-7c9b62f5e2de
Garry's Mod,,,,"Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.<br><br>You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day. <br><br>If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But if you want to do more, we have the means.<h2 class=""bb_tag"">Beyond the Sandbox</h2><br>The Garry's Mod community is a tremendous source of content and has added hundreds of unique modes to the game. In Trouble In Terrorist Town, you can be a detective solving an online murder as criminals attempt to cover up their homicides. Be a ball, a plant, a chair, or anything else in Prop Hunt's elaborate, shape-shifting game of Hide &amp; Seek. Elevator: Source is gaming's first elevator thrill ride, delivering players to airlocks and kitten dance parties. <br><br>We have one of the most vibrant Steam Community Workshops, with over 300'000 models, maps, and contraptions to download. It has everything from new tools to improve your builds, to guns that fire rainbow-tinged nuclear blasts from space. Take as much or as little as you need: it’s all free. <br><br><strong>Please note: Some multiplayer servers and game-modes might require you to own other games - such as Counter-Strike: Source and Team Fortress 2.</strong>",Facepunch Studios,Valve,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",4000,"Indie, Simulator",,24/12/2004,17/06/2025 23:53,17/03/2018 14:52,17/06/2025 23:57,17/06/2025 23:53,,0,8100,Steam,,,79,,2,ffb6e1af-c1e0-4d46-a270-f36478ec4fec
Don't Starve Together,,PEGI 12,,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/322330/extras/dst_steam_gif_about.gif?t=1750118066"" /><br>Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.<br><br>Enter a strange and unexplored world full of odd creatures, hidden dangers, and ancient secrets. Gather resources to craft items and build structures that match your survival style. Play your way as you unravel the mysteries of &quot;The Constant&quot;.<br><br>Cooperate with your friends in a private game, or find new friends online. Work with other players to survive the harsh environment, or strike out on your own.<br><br>Do whatever it takes, but most importantly, Don't Starve.",Klei Entertainment,Klei Entertainment,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",322330,"Adventure, Indie, Simulator, Strategy",,21/04/2016,17/06/2025 23:53,10/09/2022 23:53,17/06/2025 23:57,17/06/2025 23:53,,0,7920,Steam,Don't Starve,,76,,1,d99134b5-5f01-4af9-8e57-e5144dbd3969
Portal,,PEGI 12,,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.<br />
					The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life® 2's Gravity Gun innovated new ways to leverage an object in any given situation.<br />
					Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space.",Valve,"Electronic Arts, Valve",FALSE,FALSE,Single Player,400,"Platform, Puzzle, Shooter",,10/10/2007,17/06/2025 23:53,21/12/2017 21:43,17/06/2025 23:57,17/06/2025 23:53,,0,7560,Steam,Portal,,86,80,3,8742a9d7-c5dd-4e88-acb9-ef703ea67f46
